node_id	cluster_id	degree
318	bucket_5	68
319	bucket_12	26
320	bucket_0	20
321	bucket_0	35
322	bucket_0	34
323	bucket_0	26
324	bucket_0	27
325	bucket_2	22
326	bucket_0	29
327	bucket_0	37
328	bucket_5	2
329	bucket_0	22
330	bucket_0	9
331	bucket_5	8
332	bucket_11	15
333	bucket_5	136
334	bucket_7	56
335	bucket_3	31
336	bucket_0	24
337	bucket_0	5
338	bucket_0	30
339	bucket_7	29
340	bucket_0	38
341	bucket_0	28
342	bucket_5	36
343	bucket_0	23
344	bucket_2	29
345	bucket_4	25
346	bucket_11	7
347	bucket_0	21
348	bucket_0	21
349	bucket_11	1
350	bucket_3	22
351	bucket_5	357
352	bucket_5	10
353	bucket_5	151
354	bucket_5	4
355	bucket_0	24
356	bucket_5	5
357	bucket_0	15
358	bucket_0	26
359	bucket_11	7
360	bucket_8	19
361	bucket_0	22
362	bucket_0	32
363	bucket_14	35
364	bucket_5	4
365	bucket_11	3
366	bucket_7	22
367	bucket_8	24
368	bucket_22	20
369	bucket_0	18
370	bucket_7	28
371	bucket_4	1
372	bucket_0	21
373	bucket_0	34
374	bucket_0	22
375	bucket_4	5
376	bucket_0	31
377	bucket_0	14
378	bucket_0	21
379	bucket_0	50
380	bucket_3	24
381	bucket_5	7
382	bucket_0	31
383	bucket_5	282
384	bucket_0	22
385	bucket_8	29
386	bucket_0	3
387	bucket_0	42
388	bucket_0	17
389	bucket_0	3
390	bucket_0	20
391	bucket_3	31
392	bucket_11	4
393	bucket_10	37
394	bucket_7	23
395	bucket_10	21
396	bucket_0	36
397	bucket_0	29
398	bucket_5	158
399	bucket_5	2
400	bucket_0	23
401	bucket_4	3
402	bucket_5	506
403	bucket_0	51
404	bucket_11	2
405	bucket_11	6
406	bucket_0	25
407	bucket_0	23
408	bucket_7	24
409	bucket_5	0
410	bucket_4	8
411	bucket_0	29
412	bucket_0	23
413	bucket_1	22
414	bucket_0	35
415	bucket_2	18
416	bucket_8	36
417	bucket_0	26
418	bucket_9	25
419	bucket_0	33
420	bucket_4	15
421	bucket_4	3
422	bucket_11	1
423	bucket_5	21
424	bucket_0	39
425	bucket_5	447
426	bucket_0	21
427	bucket_2	20
428	bucket_12	19
429	bucket_0	28
430	bucket_0	36
431	bucket_0	21
432	bucket_0	24
433	bucket_0	9
434	bucket_2	30
435	bucket_0	22
436	bucket_11	10
437	bucket_7	35
438	bucket_7	26
439	bucket_0	21
440	bucket_0	25
441	bucket_5	6
442	bucket_5	6
443	bucket_0	26
444	bucket_4	18
445	bucket_0	20
446	bucket_14	20
447	bucket_0	24
448	bucket_5	30
449	bucket_5	1
450	bucket_0	30
451	bucket_0	19
452	bucket_5	116
453	bucket_1	24
454	bucket_5	12
455	bucket_8	25
456	bucket_8	24
457	bucket_5	40
458	bucket_0	30
459	bucket_8	22
460	bucket_5	13
461	bucket_0	24
462	bucket_3	19
463	bucket_5	7
464	bucket_5	6
465	bucket_0	17
466	bucket_0	25
467	bucket_28	19
468	bucket_5	239
469	bucket_7	25
470	bucket_0	19
471	bucket_1	21
472	bucket_0	21
473	bucket_0	5
474	bucket_5	32
475	bucket_0	31
476	bucket_5	8
477	bucket_5	152
478	bucket_0	23
479	bucket_4	10
480	bucket_5	92
481	bucket_5	288
482	bucket_5	142
483	bucket_14	23
484	bucket_5	9
485	bucket_2	40
486	bucket_10	26
487	bucket_14	37
488	bucket_0	2
489	bucket_8	21
490	bucket_0	24
491	bucket_11	19
492	bucket_4	10
493	bucket_0	20
494	bucket_3	23
495	bucket_0	28
496	bucket_0	18
497	bucket_5	5
498	bucket_2	25
499	bucket_5	184
500	bucket_0	25
501	bucket_11	1
502	bucket_5	69
503	bucket_0	438
504	bucket_12	33
505	bucket_0	19
506	bucket_5	42
507	bucket_5	7
508	bucket_2	35
509	bucket_0	27
510	bucket_0	36
511	bucket_5	6
512	bucket_5	16
513	bucket_0	21
514	bucket_7	33
515	bucket_0	27
516	bucket_0	21
517	bucket_3	35
518	bucket_5	106
519	bucket_3	25
520	bucket_0	16
521	bucket_0	38
522	bucket_12	27
523	bucket_11	1
524	bucket_5	5
525	bucket_5	33
526	bucket_0	22
527	bucket_4	11
528	bucket_1	18
529	bucket_4	8
530	bucket_0	13
531	bucket_5	202
532	bucket_5	4
533	bucket_4	13
534	bucket_5	132
535	bucket_0	22
536	bucket_12	19
537	bucket_5	437
538	bucket_5	3
539	bucket_5	143
540	bucket_1	13
541	bucket_0	23
542	bucket_8	33
543	bucket_7	15
544	bucket_0	31
545	bucket_11	8
546	bucket_0	21
547	bucket_0	16
548	bucket_0	21
549	bucket_9	28
550	bucket_5	26
551	bucket_0	26
552	bucket_1	14
553	bucket_1	29
554	bucket_1	24
555	bucket_0	23
556	bucket_5	1
557	bucket_4	7
558	bucket_5	37
559	bucket_9	20
560	bucket_5	6
561	bucket_8	34
562	bucket_5	30
563	bucket_5	45
564	bucket_0	23
565	bucket_5	24
566	bucket_5	394
567	bucket_7	24
568	bucket_5	211
569	bucket_0	17
570	bucket_0	16
571	bucket_0	16
572	bucket_5	4
573	bucket_0	27
574	bucket_0	27
575	bucket_8	31
576	bucket_13	31
577	bucket_0	21
578	bucket_9	29
579	bucket_5	34
580	bucket_0	25
581	bucket_0	18
582	bucket_5	22
583	bucket_0	23
584	bucket_0	34
585	bucket_0	24
586	bucket_5	109
587	bucket_0	28
588	bucket_0	23
589	bucket_0	3
590	bucket_7	17
591	bucket_0	28
592	bucket_2	14
593	bucket_0	15
594	bucket_0	25
595	bucket_0	18
596	bucket_5	7
597	bucket_5	362
598	bucket_0	30
599	bucket_3	18
600	bucket_5	26
601	bucket_10	31
602	bucket_11	2
603	bucket_10	14
604	bucket_0	26
605	bucket_5	177
606	bucket_4	6
607	bucket_0	18
608	bucket_5	187
609	bucket_8	22
610	bucket_3	26
611	bucket_12	27
612	bucket_9	23
613	bucket_22	30
614	bucket_1	20
615	bucket_11	3
616	bucket_0	33
617	bucket_7	22
618	bucket_0	28
619	bucket_0	3
620	bucket_11	3
621	bucket_0	36
622	bucket_11	4
623	bucket_0	19
624	bucket_4	7
625	bucket_0	24
626	bucket_5	404
627	bucket_3	28
628	bucket_11	7
629	bucket_9	23
630	bucket_14	18
631	bucket_5	12
632	bucket_0	30
633	bucket_11	5
634	bucket_0	28
635	bucket_5	231
